2021-07-16 17:07:46.013 30561-30561/? I/.HappySingapor: Late-enabling -Xcheck:jni
2021-07-16 17:07:46.026 30561-30561/? I/.HappySingapor: Unquickening 22 vdex files!
2021-07-16 17:07:46.026 30561-30561/? E/.HappySingapor: Unknown bits set in runtime_flags: 0x40000000
2021-07-16 17:07:46.038 30561-30561/? E/RefClass: java.lang.reflect.InvocationTargetException
2021-07-16 17:07:46.038 30561-30561/? I/OneTrace: Mark active for pid=30561? true
2021-07-16 17:07:46.064 30561-30561/? V/studio.deploy: Startup agent attached to VM
2021-07-16 17:07:46.119 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->blocker:Lsun/nio/ch/Interruptible; (greylist-max-o, linking, denied)
2021-07-16 17:07:46.119 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->interrupt0()V (blacklist, linking, denied)
2021-07-16 17:07:46.119 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->interrupt0()V (blacklist, linking, denied)
2021-07-16 17:07:46.119 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->nativePeer:J (greylist, linking, allowed)
2021-07-16 17:07:46.119 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->setNativeName(Ljava/lang/String;)V (blacklist, linking, denied)
2021-07-16 17:07:46.119 30561-30561/? W/.HappySingapor: Accessing hidden method Ldalvik/system/RuntimeHooks;->getThreadPrioritySetter()Ldalvik/system/ThreadPrioritySetter; (blacklist,core-platform-api, linking, denied)
2021-07-16 17:07:46.119 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->setSystemDaemon(Z)V (blacklist, linking, denied)
2021-07-16 17:07:46.119 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->systemDaemon:Z (blacklist, linking, denied)
2021-07-16 17:07:46.119 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->uncaughtExceptionHandler:Ljava/lang/Thread$UncaughtExceptionHandler; (greylist-max-o, linking, denied)
2021-07-16 17:07:46.120 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->started:Z (greylist-max-o, linking, denied)
2021-07-16 17:07:46.120 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/ThreadGroup;->add(Ljava/lang/Thread;)V (greylist, linking, allowed)
2021-07-16 17:07:46.120 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->started:Z (greylist-max-o, linking, denied)
2021-07-16 17:07:46.120 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->stackSize:J (greylist-max-o, linking, denied)
2021-07-16 17:07:46.120 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/Thread;->nativeCreate(Ljava/lang/Thread;JZ)V (greylist-max-o, linking, denied)
2021-07-16 17:07:46.120 30561-30561/? W/.HappySingapor: Accessing hidden field Ljava/lang/Thread;->started:Z (greylist-max-o, linking, denied)
2021-07-16 17:07:46.120 30561-30561/? W/.HappySingapor: Accessing hidden method Ljava/lang/ThreadGroup;->threadStartFailed(Ljava/lang/Thread;)V (greylist-max-o, linking, denied)
2021-07-16 17:07:46.120 30561-30561/? W/.HappySingapor: Redefining intrinsic method java.lang.Thread java.lang.Thread.currentThread(). This may cause the unexpected use of the original definition of java.lang.Thread java.lang.Thread.currentThread()in methods that have already been compiled.
2021-07-16 17:07:46.120 30561-30561/? W/.HappySingapor: Redefining intrinsic method boolean java.lang.Thread.interrupted(). This may cause the unexpected use of the original definition of boolean java.lang.Thread.interrupted()in methods that have already been compiled.
2021-07-16 17:07:46.130 30561-30561/? W/.HappySingapor: Current dex file has more than one class in it. Calling RetransformClasses on this class might fail if no transformations are applied to it!
2021-07-16 17:07:46.130 30561-30561/? W/.HappySingapor: Accessing hidden method Ldalvik/system/DexPathList;-><init>(Ljava/lang/ClassLoader;Ljava/lang/String;)V (blacklist, linking, denied)
2021-07-16 17:07:46.130 30561-30561/? W/.HappySingapor: Accessing hidden field Ldalvik/system/DexPathList;->definingContext:Ljava/lang/ClassLoader; (greylist, linking, allowed)
2021-07-16 17:07:46.130 30561-30561/? W/.HappySingapor: Accessing hidden method Ldalvik/system/DexPathList;->splitPaths(Ljava/lang/String;Z)Ljava/util/List; (greylist, linking, allowed)
